start_value,end_value,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,win_rate_days,best_day,worst_day,avg_win_day,avg_loss_day,simulation
9793.029014030857,21214.90057781344,1.1663267358258635,0.2947608178017078,0.16729207151848113,1.5733682246227787,2.229229692878427,-0.16438887249675427,1.793070378334322,0.5869565217391305,0.03358000558503216,-0.031073155674452235,0.007068864193816041,-0.008429915901338835,0
9901.185770750988,19702.365543739823,0.9898995938387924,0.2585225704279184,0.1605882836293578,1.461460158741522,2.209949893769365,-0.2597417667078372,0.9953061215553746,0.5626598465473146,0.03788968824940042,-0.030897207367795554,0.006971819674111185,-0.007695085937371899,1
10148.968374093844,15472.62833915155,0.5245518331347674,0.15133310953045265,0.16917478837657368,0.8879221086461075,1.3404398280385643,-0.23602060831235794,0.6411859990216325,0.5460358056265985,0.03788968824940042,-0.031073155674452235,0.007329298675513043,-0.00840211405846838,2
10081.189919459599,35800.30106106112,2.5511979584826823,0.5272842642309468,0.16304392341913107,2.588159887653294,3.79253388112377,-0.10896407825566867,4.839065063201374,0.6304347826086957,0.03788968824940042,-0.03546191663697906,0.0070971118854693815,-0.008388455658233106,3
9998.785523439396,24172.500798436424,1.4175436848575922,0.3431142850257256,0.161667860888898,1.8412926802845244,2.6806028784173646,-0.11155583906830102,3.075717845801428,0.5831202046035806,0.03358000558503216,-0.031073155674452124,0.007124759829999091,-0.008101547532649238,4
9941.025253288977,26960.459252827804,1.7120401131571379,0.39571076713810727,0.15979336573282468,2.0930139934674603,3.030179589106636,-0.11001323947839081,3.5969376869029857,0.6227621483375959,0.03788968824940042,-0.030679187033702093,0.006548901294489145,-0.00805789872095878,5
9901.185770750988,13216.140369204983,0.3348037977680083,0.10131358169100735,0.16521541538334275,0.6459550825764847,0.9225020980551853,-0.24973265770639597,0.4056881571737367,0.5869565217391305,0.03788968824940042,-0.03546191663697906,0.006523799950128298,-0.009279609729455216,6
9921.42025611176,16453.177173612617,0.6583489811831311,0.18415770486108318,0.16503069169384668,1.0704094694815656,1.5213866677335994,-0.21303540382287456,0.8644464795823263,0.5664961636828645,0.03788968824940042,-0.031073155674451902,0.006844254779887204,-0.00830711633971352,7
9999.008526670632,20713.494550432577,1.0715548441810907,0.2755497843341823,0.16180930262115456,1.5319246313645272,2.2111196171579466,-0.10215496629951926,2.6973704198214694,0.5856777493606138,0.03788968824940042,-0.035461916636979174,0.006893368674118607,-0.008378768416729453,8
10000.978377849526,13657.913489677163,0.36565773603981877,0.10975590252280232,0.1583132037398321,0.7136959809691595,0.930163789284214,-0.2334128082032063,0.47022227857886095,0.5843989769820972,0.030703871777541858,-0.035461916636979174,0.0061346944543807305,-0.008286944032870938,9
