fast_ma,slow_ma,momentum_lookback,start_value,end_value,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,win_rate_days,best_day,worst_day,avg_win_day,avg_loss_day,num_trades,turnover_per_year
20,100,120,10000.0,21355.90216953236,1.135590216953236,0.2882940775793026,0.16469197410949044,1.5656671380107896,2.3392534549196045,-0.12425246196510142,2.3202282918166666,0.578544061302682,0.03788968824940042,-0.030897207367795554,0.007240602739758694,-0.007996153286660089,13.0,4.340265082266911
50,100,120,10000.0,21355.90216953236,1.135590216953236,0.2882940775793026,0.16469197410949044,1.5656671380107896,2.3392534549196045,-0.12425246196510142,2.3202282918166666,0.578544061302682,0.03788968824940042,-0.030897207367795554,0.007240602739758694,-0.007996153286660089,13.0,4.340265082266911
20,100,90,10000.0,20347.328362103613,1.0347328362103614,0.26765273446740667,0.17012570104511443,1.429389423065312,2.135657358386319,-0.16442481447581037,1.6278122941521267,0.5734355044699873,0.04827110629494613,-0.030897207367795554,0.007530953664934377,-0.008309544317208426,17.0,5.67573126142596
50,100,90,10000.0,20347.328362103613,1.0347328362103614,0.26765273446740667,0.17012570104511443,1.429389423065312,2.135657358386319,-0.16442481447581037,1.6278122941521267,0.5734355044699873,0.04827110629494613,-0.030897207367795554,0.007530953664934377,-0.008309544317208426,17.0,5.67573126142596
20,150,90,10000.0,19395.351307193872,0.9395351307193873,0.24753466026967175,0.1666882367429704,1.3627822184939176,1.9919222859125763,-0.1541950960548638,1.6053341941665706,0.5874840357598978,0.04827110629494613,-0.030897207367795554,0.006967373467884988,-0.008330579845912704,13.0,4.340265082266911
50,150,90,10000.0,19395.351307193872,0.9395351307193873,0.24753466026967175,0.1666882367429704,1.3627822184939176,1.9919222859125763,-0.1541950960548638,1.6053341941665706,0.5874840357598978,0.04827110629494613,-0.030897207367795554,0.006967373467884988,-0.008330579845912704,13.0,4.340265082266911
20,150,120,10000.0,19038.583894186155,0.9038583894186154,0.2398257493061271,0.16345166373634315,1.3499404940538846,1.9718760174809011,-0.12992068465912066,1.8459396972496707,0.5862068965517241,0.03788968824940042,-0.030897207367795554,0.0068337384410726565,-0.00814317213228822,14.0,4.674131627056673
50,150,120,10000.0,19038.583894186155,0.9038583894186154,0.2398257493061271,0.16345166373634315,1.3499404940538846,1.9718760174809011,-0.12992068465912066,1.8459396972496707,0.5862068965517241,0.03788968824940042,-0.030897207367795554,0.0068337384410726565,-0.00814317213228822,14.0,4.674131627056673
20,200,120,10000.0,18473.630142248985,0.8473630142248985,0.22741909929437432,0.16222768937241963,1.299075206287552,1.875490368216713,-0.16191178810080797,1.4045864230267213,0.5874840357598978,0.03788968824940042,-0.031073155674452013,0.00662646682146356,-0.008224594177004068,14.0,4.674131627056673
50,200,120,10000.0,18473.630142248985,0.8473630142248985,0.22741909929437432,0.16222768937241963,1.299075206287552,1.875490368216713,-0.16191178810080797,1.4045864230267213,0.5874840357598978,0.03788968824940042,-0.031073155674452013,0.00662646682146356,-0.008224594177004068,14.0,4.674131627056673
20,200,90,10000.0,18636.52785929936,0.8636527859299361,0.23102204228797651,0.1662525322106089,1.2885824649454616,1.8601140952028967,-0.18249694194192856,1.2658954162721745,0.5887611749680716,0.04827110629494613,-0.031073155674452013,0.0067742274259033584,-0.008473363190701386,11.0,3.672531992687386
50,200,90,10000.0,18636.52785929936,0.8636527859299361,0.23102204228797651,0.1662525322106089,1.2885824649454616,1.8601140952028967,-0.18249694194192856,1.2658954162721745,0.5887611749680716,0.04827110629494613,-0.031073155674452013,0.0067742274259033584,-0.008473363190701386,11.0,3.672531992687386
20,100,60,10000.0,17427.934968341586,0.7427934968341585,0.20377119066716975,0.17334573763683372,1.1184562385193826,1.552992921366223,-0.17665615059892636,1.1534904953850398,0.578544061302682,0.03788968824940042,-0.054831124412141996,0.007410311614991022,-0.008828395769039451,24.0,8.012797074954296
50,100,60,10000.0,17427.934968341586,0.7427934968341585,0.20377119066716975,0.17334573763683372,1.1184562385193826,1.552992921366223,-0.17665615059892636,1.1534904953850398,0.578544061302682,0.03788968824940042,-0.054831124412141996,0.007410311614991022,-0.008828395769039451,24.0,8.012797074954296
20,150,60,10000.0,15884.665989438517,0.5884665989438518,0.16707793845553098,0.16900371999656874,0.9661296270102167,1.2801819994644326,-0.17665615059892725,0.9457804774364056,0.5900383141762452,0.03788968824940042,-0.054831124412141885,0.006767862782403435,-0.008789999564877223,23.0,7.678930530164534
50,150,60,10000.0,15884.665989438517,0.5884665989438518,0.16707793845553098,0.16900371999656874,0.9661296270102167,1.2801819994644326,-0.17665615059892725,0.9457804774364056,0.5900383141762452,0.03788968824940042,-0.054831124412141885,0.006767862782403435,-0.008789999564877223,23.0,7.678930530164534
20,200,60,10000.0,14767.634591885215,0.4767634591885215,0.13900926763748345,0.16987774212912543,0.8238044123665632,1.0832730070381948,-0.21206198755508765,0.6555124246459909,0.5887611749680716,0.03788968824940042,-0.054831124412141885,0.006634925985701402,-0.00904782262394389,20.0,6.677330895795247
50,200,60,10000.0,14767.634591885215,0.4767634591885215,0.13900926763748345,0.16987774212912543,0.8238044123665632,1.0832730070381948,-0.21206198755508765,0.6555124246459909,0.5887611749680716,0.03788968824940042,-0.054831124412141885,0.006634925985701402,-0.00904782262394389,20.0,6.677330895795247
