metric,p05,p25,median,p75,p95
total_return,0.16921936624887807,0.47008022440740604,0.7870659986857675,1.1430616097127593,1.8597818746715968
cagr,0.0536318820818019,0.13741889735627577,0.2141108081857772,0.2900974404225074,0.42067154124547607
max_drawdown,-0.26477046226829415,-0.20742795292175656,-0.16601421516317005,-0.13569044670269598,-0.10964529534417482
sharpe,0.3886686115326664,0.8269136430556641,1.2307591719981366,1.5556225591141861,2.128531064228466
end_value,11789.818761376322,14677.91237266758,17830.72473114241,21396.943253014262,28698.026289331432
